"theta.1","theta.2"
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.334472187105842,0.627201117770022
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
0.522033333782222,0.831178663353461
