"p1","p2","exact.1","exact.2","den.1","den.2"
0.120401337792642,0.120401337792642,0.0200573224386823,0.0320198440540318,0.00398620625012091,0.0391646786695932
0.123745819397993,0.123745819397993,0.0273650306639335,0.0327320993786711,0.00381446563101955,0.03957436156629
0.127090301003344,0.127090301003344,0.03374377896184,0.0334606166976031,0.00364706558559038,0.0401197801374533
0.130434782608696,0.130434782608696,0.0389203561570248,0.0342057807073625,0.00350409927985215,0.0408233715800238
0.133779264214047,0.133779264214047,0.0432270564077712,0.034967985657676,0.00341498914223435,0.0416947472890782
0.137123745819398,0.137123745819398,0.04715888119459,0.0357476356048368,0.00342228987475101,0.0427319609685015
0.140468227424749,0.140468227424749,0.0510802203201367,0.036545133537339,0.00358614781204631,0.0439231493101333
0.1438127090301,0.1438127090301,0.0551795911161636,0.037360937319534,0.00398927633110021,0.0452482878033482
0.147157190635451,0.147157190635451,0.0595365704924899,0.0381954486169853,0.00474215449672396,0.0466809421190965
0.150501672240803,0.150501672240803,0.0641854125552686,0.0390491245313865,0.00598794244148545,0.0481900217704643
0.153846153846154,0.153846153846154,0.069146639192612,0.0399224222176903,0.00790635386484616,0.0497416193556714
0.157190635451505,0.157190635451505,0.074437877374153,0.0408158103202838,0.0107154822491307,0.0513010262731484
0.160535117056856,0.160535117056856,0.0800766466626311,0.0417297692829679,0.0146704168551539,0.052834957590131
0.163879598662207,0.163879598662207,0.0860809130240588,0.0426647916681097,0.0200574958900359,0.054313917852891
0.167224080267559,0.167224080267559,0.0924672953296222,0.0436213824852725,0.0271833109061404,0.0557145309268702
0.17056856187291,0.17056856187291,0.0992604257913995,0.0446000595296455,0.0363581496178033,0.0570215763578791
0.173913043478261,0.173913043478261,0.106474207701824,0.0456013537306039,0.0478744334326954,0.0582294491149869
0.177257525083612,0.177257525083612,0.114130520913705,0.0466258095107432,0.0619817762235641,0.0593428000875415
0.180602006688963,0.180602006688963,0.122249834828502,0.0476739851557431,0.0788613768378621,0.0603762150818229
0.183946488294314,0.183946488294314,0.130853053565453,0.0487464531954268,0.0986033030691694,0.0613529295086502
0.187290969899666,0.187290969899666,0.139961484948962,0.0498438007963949,0.12119055032996,0.062302725387389
0.190635451505017,0.190635451505017,0.149596805807251,0.0509666301666289,0.146493335497835,0.0632592867137347
0.193979933110368,0.193979933110368,0.159781023481244,0.0521155589724732,0.174275818965828,0.0642573742759706
0.197324414715719,0.197324414715719,0.170536433444372,0.0532912207684276,0.204215438475171,0.0653302072280255
0.20066889632107,0.20066889632107,0.181885572952159,0.0544942654401936,0.235932613955416,0.0665074031563854
0.204013377926421,0.204013377926421,0.193851170671415,0.0557253596614445,0.269026258341852,0.0678137383393898
0.207357859531773,0.207357859531773,0.206456092229698,0.0569851873648017,0.303108904537216,0.0692688599745408
0.210702341137124,0.210702341137124,0.21972328163848,0.0582744502275209,0.337834863129255,0.0708879303072916
0.214046822742475,0.214046822742475,0.233675698618888,0.0595938681724128,0.37291595307549,0.072683026744113
0.217391304347826,0.217391304347826,0.248336251830772,0.0609441798845396,0.408121928445049,0.0746649781595226
0.220735785953177,0.220735785953177,0.263727727982496,0.0623261433442523,0.443266283807865,0.0768452000604222
0.224080267558528,0.224080267558528,0.279872716935022,0.06374053637716,0.478181853818624,0.079237014831352
0.22742474916388,0.22742474916388,0.296793532905456,0.0651881572216417,0.512693577402929,0.081855925471756
0.230769230769231,0.230769230769231,0.314512131785839,0.066669825114543,0.546597126896482,0.0847183725195962
0.234113712374582,0.234113712374582,0.333050024737781,0.068186380895725,0.579651312894447,0.0878386635910905
0.237458193979933,0.237458193979933,0.352428188297577,0.0697386876321619,0.611589290513373,0.0912240324489101
0.240802675585284,0.240802675585284,0.372666971111338,0.0713276312623141,0.642149182780211,0.0948681471502015
0.244147157190635,0.244147157190635,0.393785997458477,0.0729539342254208,0.671119791473344,0.0987438001853228
0.247491638795987,0.247491638795987,0.415804067835824,0.07461909132929,0.698392744185937,0.102795899318479
0.250836120401338,0.250836120401338,0.438739056825006,0.0763235000990465,0.724009760435868,0.106936134779589
0.254180602006689,0.254180602006689,0.462607809633014,0.0780683318716358,0.74819335847743,0.111040726594833
0.25752508361204,0.25752508361204,0.487426032586477,0.0798545973730437,0.771351395787042,0.114952389451611
0.260869565217391,0.260869565217391,0.513208195794783,0.0816833345375329,0.794049955952586,0.118487090921074
0.264214046822742,0.264214046822742,0.539967403879544,0.0835556093170875,0.816954505189226,0.121445402865724
0.267558528428094,0.267558528428094,0.567715305777407,0.0854725165182046,0.840745015670994,0.123627409599764
0.270903010033445,0.270903010033445,0.596461974301618,0.0874351806671027,0.866015986211623,0.124849432795777
0.274247491638796,0.274247491638796,0.626215795159728,0.0894447569044668,0.893176224750952,0.124960440474953
0.277591973244147,0.277591973244147,0.656983369749005,0.0915024319109027,0.922365313356516,0.123856033096113
0.280936454849498,0.280936454849498,0.688769380966993,0.093609424864325,0.953403437322373,0.121488341443148
0.284280936454849,0.284280936454849,0.721576511327507,0.0957669884305623,0.985788454197453,0.117870910773427
0.287625418060201,0.287625418060201,0.755405325419683,0.0979764097885227,1.01874862961502,0.113078482613215
0.290969899665552,0.290969899665552,0.790254168930152,0.100239011691326,1.05135161898601,0.107242298490581
0.294314381270903,0.294314381270903,0.826119071430772,0.102556153564878,1.08266075353082,0.100541969940719
0.297658862876254,0.297658862876254,0.862993649739215,0.104929232645426,1.1119198049235,0.0931950267482487
0.301003344481605,0.301003344481605,0.900869017441839,0.107359685157728,1.13873898335546,0.0854450399982722
0.304347826086957,0.304347826086957,0.939733699224854,0.109848987535514,1.16325002269348,0.0775488894247151
0.307692307692308,0.307692307692308,0.979573550873999,0.112398657686044,1.1861986009286,0.0697635125711479
0.311036789297659,0.311036789297659,1.02037168552669,0.115010292856818,1.20894895067969,0.0623324949905439
0.31438127090301,0.31438127090301,1.06210840675299,0.117685388212984,1.23338791834665,0.0554731756700954
0.317725752508361,0.317725752508361,1.1047611490735,0.120425703807808,1.261732032082,0.0493654403588538
0.321070234113712,0.321070234113712,1.14830442650696,0.123232900481196,1.29625823982079,0.044143823728499
0.324414715719064,0.324414715719064,1.19270978982196,0.12610872415574,1.33899328604825,0.0398946583502528
0.327759197324415,0.327759197324415,1.23794579263178,0.129054970852373,1.39140506191021,0.0366595719970265
0.331103678929766,0.331103678929766,1.28397796741104,0.1320734883216,1.45413986930408,0.0344455808673861
0.334448160535117,0.334448160535117,1.33076881134051,0.135166177736747,1.526842423146,0.033240506994309
0.337792642140468,0.337792642140468,1.3782777827526,0.138334995452015,1.608082442454,0.0330308213070433
0.341137123745819,0.341137123745819,1.42646130864482,0.141581954828241,1.69539595484054,0.0338177610773579
0.344481605351171,0.344481605351171,1.47527280333551,0.14490914086093,1.78543435129098,0.0356271608238681
0.347826086956522,0.347826086956522,1.52466269885627,0.148318648493173,1.87420247078554,0.0385091741145863
0.351170568561873,0.351170568561873,1.57457848718237,0.151812711978508,1.95735988766686,0.0425259706536004
0.354515050167224,0.354515050167224,1.62496477459483,0.155393579694438,2.03055692799,0.0477282568153558
0.357859531772575,0.357859531772575,1.67576334834299,0.159063580013244,2.08977746114142,0.0541244908168526
0.361204013377926,0.361204013377926,1.72691325571756,0.162894315256235,2.13166256174733,0.0616491979507408
0.364548494983278,0.364548494983278,1.77835089557947,0.166680642170707,2.15379151187913,0.0701381294487283
0.367892976588629,0.367892976588629,1.83001012232999,0.170632718260689,2.15489902921977,0.0793176790293854
0.37123745819398,0.37123745819398,1.88182236224927,0.17468396054773,2.13501069062372,0.0888138808200764
0.374581939799331,0.374581939799331,1.93371674206763,0.178837071173416,2.09548334626814,0.098182793725999
0.377926421404682,0.377926421404682,1.98562022956769,0.183094830956146,2.03894469511564,0.106959824609253
0.381270903010033,0.381270903010033,2.0374577859462,0.187460112101361,1.96913601947747,0.114721451583236
0.384615384615385,0.384615384615385,2.08915252959611,0.191935871507021,1.89067307291746,0.121149764451743
0.387959866220736,0.387959866220736,2.14062591090195,0.19652515884757,1.8087500423683,0.126088909724231
0.391304347826087,0.391304347826087,2.19179789757518,0.201231119481459,1.72881783858769,0.12958321659159
0.394648829431438,0.394648829431438,2.24258716999159,0.206056995731372,1.65626878208674,0.131889374965598
0.397993311036789,0.397993311036789,2.29291132592853,0.211006134027811,1.59615447889398,0.1334590544472
0.40133779264214,0.40133779264214,2.34268709403774,0.216081984734202,1.55295347523563,0.134893064275016
0.404682274247492,0.404682274247492,2.39183055532965,0.221306593584855,1.53039281274544,0.136872740889136
0.408026755852843,0.408026755852843,2.44025737188754,0.226628186335602,1.5313163425791,0.14007795607755
0.411371237458194,0.411371237458194,2.4878830219762,0.232106003905733,1.55758583667376,0.145103383786398
0.414715719063545,0.414715719063545,2.53462304065964,0.237725486007113,1.61000056216438,0.152385104633601
0.418060200668896,0.418060200668896,2.58039326499604,0.243490673589996,1.68822716022132,0.162148181746652
0.421404682274247,0.421404682274247,2.62511008283662,0.249405740026828,1.79074246849115,0.174382687499231
0.424749163879599,0.424749163879599,2.66869068421835,0.255475001323013,1.91480388022049,0.188851224673923
0.42809364548495,0.42809364548495,2.71105331430849,0.26170292206244,2.05647088884961,0.205125920732764
0.431438127090301,0.431438127090301,2.75211752683301,0.268094105270759,2.21070414017804,0.222648010685927
0.434782608695652,0.434782608695652,2.7918044369001,0.274653313595203,2.37156272316915,0.240799372287463
0.438127090301003,0.438127090301003,2.83003697211559,0.28138547070986,2.53250690878117,0.258973568291845
0.441471571906354,0.441471571906354,2.86674012087854,0.288295667158464,2.68679466084492,0.276634634169868
0.444816053511706,0.444816053511706,2.90184117674293,0.295389168597629,2.82794020354691,0.293355093092584
0.448160535117057,0.448160535117057,2.9352699777359,0.30267142266445,2.95018654401782,0.30882993846213
0.451505016722408,0.451505016722408,2.96695913953305,0.310148066608181,3.048935299232,0.322869456299615
0.454849498327759,0.454849498327759,2.996844281409,0.317824935306717,3.12107894698209,0.335379227295122
0.45819397993311,0.45819397993311,3.02486424390452,0.325708069699777,3.16519284552829,0.34633888649899
0.461538461538462,0.461538461538462,3.05096129718164,0.333803725671566,3.18156477635222,0.355791093306561
0.464882943143813,0.464882943143813,3.07508133907414,0.342118383415292,3.172064231769,0.363848382574406
0.468227424749164,0.468227424749164,3.09717408188325,0.350658757311452,3.13987720465168,0.370718894606963
0.471571906354515,0.471571906354515,3.11719322701625,0.3594318063522,3.08915017457494,0.376744156362155
0.474916387959866,0.474916387959866,3.1350966266194,0.368444745145871,3.02459604866748,0.382435413608837
0.478260869565217,0.478260869565217,3.15084643141558,0.3777050555387,2.95111381506896,0.388491720464705
0.481605351170569,0.481605351170569,3.16440922402108,0.387220498894807,2.8734636523094,0.395784525876845
0.48494983277592,0.48494983277592,3.17575613708412,0.396999129079997,2.79602311410027,0.405299990598384
0.488294314381271,0.488294314381271,3.18486295566077,0.4070492779283,2.72263173159664,0.418040372785308
0.491638795986622,0.491638795986622,3.19171020332,0.417379711147009,2.65651495566371,0.434896982067973
0.494983277591973,0.494983277591973,3.19628321154935,0.427999361018582,2.60026694226131,0.456516347541587
0.498327759197324,0.498327759197324,3.19857217211508,0.438917625467131,2.55586690654235,0.483185675186978
0.501672240802676,0.501672240802676,3.19857217211508,0.450144244056715,2.52470557160534,0.514761888036956
0.505016722408027,0.505016722408027,3.19628321154935,0.461689344667699,2.50760507696891,0.550660746622592
0.508361204013378,0.508361204013378,3.19171020332,0.473563463227908,2.50482513854994,0.589910616316316
0.511705685618729,0.511705685618729,3.18486295566077,0.485777564357587,2.51605761651917,0.631262406556575
0.51505016722408,0.51505016722408,3.17575613708412,0.498343063699346,2.54041876358935,0.673336335984549
0.518394648829431,0.518394648829431,3.16440922402108,0.511271851511089,2.57645201605865,0.714780056102392
0.521739130434783,0.521739130434783,3.15084643141558,0.524576316680623,2.62215402569154,0.754412450999424
0.525083612040134,0.525083612040134,3.1350966266194,0.538269378871431,2.67503338403307,0.79133260608493
0.528428093645485,0.528428093645485,3.11719322701625,0.552365128863746,2.73220637951362,0.824982100909186
0.531772575250836,0.531772575250836,3.09717408188325,0.566875767244973,2.79052849311045,0.85515834122012
0.535117056856187,0.535117056856187,3.07508133907414,0.581817831776358,2.84675528735526,0.881984691364289
0.538461538461538,0.538461538461538,3.05096129718164,0.597206035411286,2.89772254307039,0.905848182026034
0.54180602006689,0.54180602006689,3.02486424390452,0.613056404217335,2.94053314868048,0.927317260528776
0.545150501672241,0.545150501672241,2.996844281409,0.629385697990879,2.97273720015004,0.9470512243318
0.548494983277592,0.548494983277592,2.96695913953305,0.646211453628009,2.99249172004596,0.965711012491953
0.551839464882943,0.551839464882943,2.9352699777359,0.663552033109012,2.99868707396275,0.983879213452722
0.555183946488294,0.555183946488294,2.90184117674293,0.68142667404875,2.99102842109724,1.00199613222035
0.558528428093645,0.558528428093645,2.86674012087854,0.699855544616316,2.97006243087143,1.02031834657973
0.561872909698997,0.561872909698997,2.83003697211559,0.718859803219874,2.93714220587561,1.0389055083471
0.565217391304348,0.565217391304348,2.7918044369001,0.738461662911946,2.89432707912794,1.05763918094714
0.568561872909699,0.568561872909699,2.75211752683301,0.75868446125812,2.84421882067629,1.07627363280349
0.57190635451505,0.57190635451505,2.71105331430849,0.779552736210381,2.7897417242945,1.09451294878522
0.575250836120401,0.575250836120401,2.66869068421835,0.801092308800213,2.73388071185733,1.11210271858982
0.578595317725752,0.578595317725752,2.62511008283663,0.823330372732457,2.67939834898349,1.128919661148
0.581939799331104,0.581939799331104,2.58039326499604,0.846295592971192,2.62855757808189,1.1450406215374
0.585284280936455,0.585284280936455,2.53462304065965,0.870018213045439,2.58288090061022,1.16077458001658
0.588628762541806,0.588628762541806,2.4878830219762,0.894530172465033,2.54297748447614,1.17664769334016
0.591973244147157,0.591973244147157,2.44025737188754,0.919865236068375,2.50846622750821,1.19334078053125
0.595317725752508,0.595317725752508,2.39183055532965,0.946059136055516,2.4780146425812,1.21158896099804
0.598662207357859,0.598662207357859,2.34268709403774,0.973149728695669,2.4495007685045,1.23206188214194
0.602006688963211,0.602006688963211,2.29291132592853,1.0011771676243,2.42028931530031,1.25524799455794
0.605351170568562,0.605351170568562,2.24258716999159,1.0301840955957,2.38759602073539,1.28136641420702
0.608695652173913,0.608695652173913,2.19179789757518,1.06021585767743,2.3488985158875,1.31032503416635
0.612040133779264,0.612040133779264,2.14062591090195,1.09132073902421,2.30234087003421,1.34173486032701
0.615384615384615,0.615384615384615,2.08915252959611,1.12355023052254,2.24707498269421,1.37498000134393
0.618729096989967,0.618729096989967,2.0374577859462,1.15695932662529,2.18348662155311,1.4093325739945
0.622073578595318,0.622073578595318,1.98562022956769,1.1916068606966,2.11326714718955,1.44409395116931
0.625418060200669,0.625418060200669,1.93371674206763,1.22755588409449,2.03931212708822,1.47873956115326
