"m.low","low","low"
-0.443447586484939,0.0830306882269946,0.0877914309315445
-0.421894935786543,0.00321754039616934,0.00745894796373425
-0.398744077503942,-0.066580438636253,-0.0628138061696495
-0.37408817403626,-0.125052183884636,-0.121726605885961
-0.348027536888492,-0.171178504904923,-0.168282436579785
-0.320669207731447,-0.204244664552073,-0.201796763356095
-0.292126651243644,-0.223844322855202,-0.22189812236014
-0.262520162800321,-0.229875322583251,-0.228520693405855
-0.231984968128412,-0.222530334048996,-0.221891961066007
-0.206844334165663,-0.24018445224509,-0.238195618076111
-0.199268405228015,-0.363074716166581,-0.353434409185502
-0.190963710560375,-0.479012865635301,-0.462259258783586
-0.181830076938248,-0.586749268374128,-0.563482280700483
-0.171836741682645,-0.685279306572778,-0.656138950893336
-0.160961104552066,-0.773825540282989,-0.73947294379701
-0.149186568084038,-0.851834555731693,-0.812935323540409
-0.136502431787315,-0.918968233977121,-0.876178261740066
-0.122904062359603,-0.975089453631087,-0.929043233969055
-0.108393096782686,-1.02024294984902,-0.97154435098075
-0.0929776229798663,-1.05463225491352,-1.00384769092343
-0.0766723206109438,-1.07859376445347,-1.02624762531946
-0.0594985549239546,-1.09256904776402,-1.03914121359749
-0.0414844201790404,-1.09707655514568,-1.04300178274524
-0.0226647307513743,-1.09268386847735,-1.03835280915561
-0.00308095892657889,-1.07998159137166,-1.02574317713634
0.0172188809524076,-1.05955988078446,-1.00572480152543
0.0381804017921052,-1.03198848292169,-0.978833470510086
0.0597430658296461,-0.99780095519844,-0.945573591516385
0.0818404583533256,-0.957483538587435,-0.906407313484544
0.104400611491868,-0.911468900382286,-0.861748262144385
0.127346376083332,-0.860134709220242,-0.811959873772289
0.150595839233446,-0.803806747961906,-0.757358062828517
0.174062784790135,-0.742766032805643,-0.698217726660387
0.197657193596607,-0.677259205295349,-0.634782392382168
0.221285780039113,-0.607511311529404,-0.567276160860186
0.244852561073754,-0.533739989513342,-0.495917010030482
0.268259453589609,-0.456170055598634,-0.420930488978687
0.291406895618127,-0.37504751327571,-0.342562864372076
0.314194486470655,-0.290652096363266,-0.261092866202328
0.336521640221229,-0.203307594278773,-0.176841310946891
0.358288245617577,-0.113389377742461,-0.0901780455118251
0.379395322156813,-0.0213287364010645,-0.00152584230221597
0.399745651883788,0.0723861559113863,0.0886389267308131
0.419244328333637,0.167212622832562,0.179788806813935
0.437798973640786,0.262558947360681,0.271350705536223
0.455317816717679,0.357792027759479,0.362713410478389
0.471647758342238,0.452229385106004,0.453220084968433
0.468754390153895,0.410273594072009,0.413016405066139
0.458613915110158,0.322298810618722,0.328649576326762
0.447431290604775,0.234201769607254,0.244074661367386
0.435325368098824,0.146818349364364,0.160096450051449
0.422408685917052,0.0609425616793036,0.0774812584726566
0.408795584031416,-0.022682158001834,-0.00305158595882538
0.394602457873155,-0.103371894838712,-0.0808385230470136
0.379947237824033,-0.180509003945362,-0.155278466392642
0.364948709071145,-0.253546251253106,-0.225837032333214
0.349725786361075,-0.322008215933628,-0.292048156949807
0.334396776689864,-0.385489997513293,-0.353513132813897
0.319078643865277,-0.443653429279218,-0.409897249514848
0.30388628321638,-0.496221148551409,-0.460924365642461
0.288931812704447,-0.542969006830384,-0.506369867986792
0.274323885817295,-0.583717409373025,-0.546052577211315
0.260167031155088,-0.618322245161386,-0.579826229199878
0.246561023282337,-0.646666096754375,-0.607571190132257
0.233600289131187,-0.668650400080842,-0.629187046146162
0.221373353955837,-0.684189155510421,-0.644586643831885
0.20996233054076,-0.69320467663724,-0.653692048706098
0.199442455049362,-0.695625709852977,-0.656432742603696
0.189881672562628,-0.691388077784262,-0.652746208949438
0.181340274998408,-0.680437807741781,-0.642580871272763
0.17387059372185,-0.662736518402812,-0.625901170435937
0.167516748755605,-0.638268669279998,-0.602694404540652
0.162314456073453,-0.607050140974181,-0.572978824736003
