"lng","lat"
-112.4,34.9
-112.05,34.75
-111.9,34.7
-112,34.7
-112.1,34.6
-112.24,34.503
-112.115,34.749
-112.8,34.3
-112.3,34.4
-112.8,35.1
-111.7,34.6
-111.9,34.9
-113,35.4
-112.688,34.51
-112.3,34.2
-111.7,34.8
-113.7,35.3
-114.33,34.48
-114.2,34.6
-113.8,34.6
-114.2,35.5
-113.8,35.5
-114.3,35.1
-114.5,35
-114.52,35.15
-114.2003,35.414
-113.3,36.4
-114.1,34.9
-113.5,35.6
-112.6,36.2
-114.4,34.8
-113.6,35.5
-114.1,34.8
-114.5,34.9
-114.3,35.6
-114.5,35.1
-114.5,35.9
-114.2,36
-114.5,35.7
-109.4,35
-109.5,36.1
-109.5,35.7
-109.5,35.7
-109.5,35.7
-109.3,36.5
-109.5,35.7
-109.98,35.93
-109.5,35.7
-109.4,34.9
-109.5,36.7
-109.07,35.64
-109.5,36.1
-109.9,36.8
-109.6,36.5
-109.5,36.1
-109.5,36.6
-109.5,36.6
-109.6,36.5
-109.3,36.4
-91.9,34.2
-92.1,34.3
-92.1,34.1
-91.21,33.64
-92.3,33.5
-92,33.1
-91.4,33.5
-91.4,33.8
-91.3,33.2
-91.9,33.4
-91.5,34
-91.7,34.1
-91.8,33.2
-92.1,33.4
-92.2,33.3
-92.3,33.9
-91.3,33.4
-91.3,33.6
-91.8,33.6
-91.6,33.3
-91.789,34.143
-92.2,33.8
-91.6,33.1
-91.5,33.83
-91.4,33.2
-92.2,33.9
-91.1,33.7
-91.8,33.9
-91.4,33.8
-92.2,33.6
-91.3,33.9
-91.9,33.6
-91.6,33.1
-91.47,33.76
-92.9,33.6
-92.9,33.6
-92.6,33.7
-93.14,33.66
-92.54,33.33
-92.6,34
-93,33.7
-92.6,33.2
-93.2,33.1
-92.5,33.8
-93.1,33.9
-92.5,33.5
-92.4,33.5
-92.2,33.1
-92.8,33.1
-92.7,33.4
-93.18,33.38
-93.2,33.2
-92.91,33.31
-92.6,33.2
-92.8,33.3
-92.8,33.9
-93,33.4
-92.3,33.1
-92.51,33.74
-93.3,33.4
-93.1,33.9
