"test","sa3","sa4","sa5"
0.636666666666667,0.141739597414942,0.203548980168718,0.284614245700923
0.64,0.114161846574634,0.176861003183024,0.260583089201107
0.643333333333333,0.0853788993671967,0.14844951272562,0.234257875055046
0.646666666666667,0.0556957982078163,0.118591563514243,0.205870381680198
0.65,0.0254320122829213,0.087578513717415,0.175670566444039
0.653333333333333,0.00522717142227027,0.0557137763098285,0.143924388909485
0.656666666666667,0.0356335323416818,0.0233153967989841,0.110911536544401
0.66,0.0657398570041012,0.00939723638877584,0.0769232107418221
0.663333333333333,0.0951560928451232,0.0419024845691282,0.0422610426600657
0.666666666666667,0.123568592795998,0.0740356107773679,0.0072787587200538
0.67,0.150676595283611,0.105450301251098,0.0279111349743674
0.673333333333333,0.176193553297618,0.135838135577998,0.0627585720918589
0.676666666666667,0.199849858255278,0.164902389995056,0.0970606967614901
0.68,0.221395606587892,0.192359590362111,0.130509849690566
0.683333333333333,0.240603210729996,0.217942037867302,0.16281060197078
0.686666666666667,0.25726979075965,0.241400352550737,0.19367828883113
0.69,0.271219311129117,0.262505880642306,0.222841038419934
0.693333333333333,0.282304436376077,0.281052913448466,0.250042054907991
0.696666666666667,0.290408084822027,0.29686068775337,0.275041843768508
0.7,0.295444663243134,0.309775145300606,0.297620306005857
0.703333333333333,0.29736096919311,0.319670433040679,0.317578669000004
0.706666666666667,0.29613675131604,0.326450129012423,0.334741232523613
0.71,0.291784921675382,0.330048181669524,0.348956912934758
0.713333333333333,0.284351417847458,0.330429553374663,0.360100571311083
0.716666666666667,0.273914716265308,0.327590561721987,0.368074113579871
0.72,0.260585002027457,0.321558915320737,0.372807352867918
0.723333333333333,0.244503004085095,0.312393443667037,0.374258626456607
0.726666666666667,0.225838508387352,0.300183523728024,0.372415161912527
0.73,0.204788565243701,0.285048208843396,0.367293189175682
0.733333333333333,0.181575411043926,0.267135068499489,0.358937797617407
0.736666666666667,0.156444129207958,0.246618750451063,0.347422539316365
0.74,0.129660083181539,0.223699279597306,0.332848782029986
0.743333333333333,0.101506175585202,0.19860011111741,0.315344817548284
0.746666666666667,0.072280079235613,0.171565959157647,0.295064733300073
0.75,0.0422922564104429,0.142860428682621,0.272187057243174
0.753333333333333,0.0118817417734383,0.112763494642928,0.246913188247735
0.756666666666667,0.0187548222578054,0.0815689406399047,0.219465626502949
0.76,0.0491103811406419,0.0495823279861236,0.190086021350916
0.763333333333333,0.0789624382973584,0.0171283632227676,0.159033058787805
0.766666666666667,0.107985481316055,0.0155721435859496,0.126580223352485
0.77,0.135871882345983,0.0480375418340055,0.0930135183447606
0.773333333333333,0.162327016430778,0.0800519250828521,0.0586295344454407
0.776666666666667,0.187071606641712,0.111288164510501,0.0237386209457318
0.78,0.20984450065913,0.141440313032567,0.0114387986987146
0.783333333333333,0.230405365857871,0.170214209553394,0.0464183711000845
0.786666666666667,0.2485371930079,0.197329432683566,0.0810182419983304
0.79,0.264048562044142,0.222521853150725,0.114908213691988
0.793333333333333,0.276775639754646,0.245546154620017,0.147788087406416
0.796666666666667,0.286583886107319,0.26617820364495,0.179368027409032
0.8,0.293369450441404,0.284217223078749,0.20936996280136
0.803333333333333,0.297060242634745,0.299487740808614,0.237529825910528
0.806666666666667,0.297616668111824,0.311841292244836,0.263599816712043
0.81,0.295032019320943,0.32115785887648,0.287350560657439
0.813333333333333,0.289332520110156,0.327347028364114,0.308573115419768
0.816666666666667,0.280577023259935,0.330348864629606,0.327080801354693
0.82,0.268856365260882,0.330134479389067,0.342710836896046
0.823333333333333,0.254292386230372,0.326706299601908,0.355325763418262
0.826666666666667,0.237036626624484,0.320098028378058,0.364814646556608
0.83,0.217268716130397,0.310374299981824,0.37109404320335
0.833333333333333,0.195194473907713,0.297630032673898,0.374108725585884
0.836666666666667,0.171043743511575,0.281989486221815,0.373832156040868
0.84,0.145067991519621,0.263605033968783,0.37026670833966
0.843333333333333,0.11753771055249,0.24265566238376,0.363443633691052
0.846666666666667,0.0887397063432655,0.219345214072471,0.353422771836237
0.85,0.0589745579043781,0.193900393499283,0.340292009945018
0.853333333333333,0.0285567587563655,0.166568558793963,0.324166494307613
0.856666666666667,0.00244374295702739,0.137615330329343,0.305187602082599
0.86,0.0330357852824659,0.107322067348633,0.283521682605177
0.863333333333333,0.0635205188639164,0.0759833552720939,0.259358579998125
0.866666666666667,0.0933932075249059,0.0439053346810661,0.232909951131945
0.87,0.122338423299623,0.0114240568389329,0.204407395583605
0.873333333333333,0.150052563823703,0.0212725254144526,0.174100417915836
0.876666666666667,0.176244536948955,0.0536864322812615,0.142254250206308
0.88,0.200638214200811,0.0855952525868919,0.109147587241254
0.883333333333333,0.222974952963598,0.116680285590959,0.0750704074758641
0.886666666666667,0.243015962219385,0.14663813465191,0.0403231093810087
0.89,0.26054444625903,0.175176800021489,0.0052829071068086
0.893333333333333,0.275367493178338,0.202017691588344,0.0300162156185045
0.896666666666667,0.287317685740549,0.226898001853523,0.0649507674145849
