"m.ei","ei","ei"
0,3.6936980715485e-112,2.17829032979437e-247
0,4.67041115741817e-24,2.09376869766829e-49
0,8.70270640332371e-12,2.20054420275244e-22
1.61935060670573e-250,1.0189596991246e-07,1.16601506082936e-13
1.54853014305554e-160,8.01149598635447e-06,1.02786888993724e-09
5.27286806909383e-113,9.262563738092e-05,1.43767006496841e-07
7.56115290379494e-85,0.000432604605163667,2.94418035278755e-06
8.49280833159335e-67,0.00123527242579499,2.17122286150567e-05
1.53281441007377e-54,0.00262698021341491,8.80000229603018e-05
7.50994681924927e-46,0.00461972769207658,0.000244473514484273
1.7573780569874e-39,0.00713441837379821,0.000527541186688434
1.07996698495032e-34,0.0100382984299967,0.000953383739620458
5.0489649822773e-31,0.0131760325611532,0.00151340886274029
3.58029430516204e-28,0.0163901118912895,0.00217729363041272
6.10947004999168e-26,0.0195323721289572,0.00289961000207184
3.44018610796531e-24,0.0224695114402659,0.00362701369869146
7.95671743072956e-23,0.0250850274499465,0.00430449438506908
8.7994269206211e-22,0.0272792794128825,0.00488026212794254
5.1600688593522e-21,0.0289688040429675,0.00530940303404962
1.71412692295155e-20,0.0300856180667984,0.00555664166028212
3.34089935700961e-20,0.0305769881242369,0.00559855623949357
3.84610829088954e-20,0.0304059936488285,0.00542550068204856
2.55691938697687e-20,0.029553117413134,0.00504333817623908
9.27751553005991e-21,0.0280190496159989,0.00447489350951589
1.662264237424e-21,0.0258288677640031,0.00376077146797251
1.25159614129582e-22,0.023037732866607,0.00295884380806704
3.07355364412776e-24,0.0197381708430035,0.00214127145274044
1.64875876450386e-26,0.0160687561151356,0.00138748831453519
1.00817655818046e-29,0.0122232551357492,0.000771499560527066
2.33844896913151e-34,0.00845723144278976,0.000343176529347157
2.86513064721511e-41,0.00508400732379402,0.000107980708698535
4.08861332915954e-52,0.00244069104310136,1.90282666138089e-05
1.8881012571061e-70,0.000787571560403261,1.1467977728217e-06
4.12198012783596e-105,0.000113441385577806,7.05444136284856e-09
1.7478029851247e-183,2.15474058280039e-06,1.08219324477946e-13
0,2.51161588783987e-11,2.14729636250445e-28
0,3.00834158201043e-45,4.40343739995661e-135
0,0,0
0,7.65751768404917e-19,1.22271337965882e-51
7.03134629724676e-249,4.19155078331451e-08,1.08277138780294e-18
6.2915823162533e-123,2.33826932653677e-05,9.25947245000379e-11
5.06249861886805e-75,0.00034530465356121,1.36318783810859e-07
6.8226630530732e-52,0.00148111446697991,5.60364026853492e-06
4.94443742273435e-39,0.00364926835214864,4.97454876552708e-05
3.4355726402234e-31,0.00669667985154943,0.000202961371064089
4.27167325656156e-26,0.0103061700824433,0.000531590919744853
1.22520005439701e-22,0.0141452095679179,0.00105688824248533
3.17980780290631e-20,0.0179276361882246,0.00174893626315157
1.63112401647312e-18,0.0214292299180184,0.00254317109118469
2.64455984906132e-17,0.0244849032435321,0.00336091228186284
1.81488910203037e-16,0.0269802365082621,0.00412520718812029
6.34366676541229e-16,0.0288423643054505,0.00477051157443958
1.2689964030678e-15,0.0300319422833805,0.00524746758695153
1.55803706849263e-15,0.0305366608532121,0.00552447807586936
1.21651941564885e-15,0.0303663282139484,0.00558744287022723
6.0864370305652e-16,0.0295494084786758,0.00543856260119145
1.91642355894274e-16,0.028130864324524,0.00509472283674021
3.63262653610304e-17,0.0261711354361515,0.0045856711894233
3.84608798923944e-18,0.0237460501008511,0.00395197284234258
2.03049877892997e-19,0.0209473986014479,0.00324255528003606
4.52912290058056e-21,0.0178837736807043,0.00251152716628341
3.35718718485981e-23,0.0146810755730955,0.00181390429952098
5.8225802898624e-26,0.0114817426159894,0.00119996754529379
1.40153348455849e-29,0.00844125101568121,0.000708346493891677
2.10651040482028e-34,0.00571971373083315,0.000358752718852761
5.58136408839012e-41,0.00346568051515362,0.000146676329872076
3.21795277452449e-50,0.00178932867483175,4.38587408121844e-05
1.04402211752993e-63,0.00072558846919438,8.09895734294016e-06
2.02922622583891e-84,0.000199360922089567,6.76816159769261e-07
1.89691352292583e-118,2.76657037111089e-05,1.36810551947864e-08
6.23131815989783e-180,9.99313824298953e-07,1.6004382007913e-11
4.78334858491424e-308,1.56324403872437e-09,2.17344662566344e-17
0,1.63051280330581e-16,2.26005638797506e-32
0,2.04743049986671e-45,1.06904971046711e-95
0,0,0
0,2.10819738591029e-119,1.08220997048133e-258
0,2.0978155217596e-25,1.69198715576232e-51
0,2.2776960947433e-12,2.80742191058775e-23
2.76107003407635e-279,4.55510223449086e-08,3.44673747387894e-14
6.28595188618201e-183,4.47733529913746e-06,4.32188053772034e-10
9.86580722973874e-132,5.76757058329661e-05,7.18515776301717e-08
2.85712235383524e-101,0.000284648141621171,1.61106345132537e-06
1.08597784441621e-81,0.00083475604721372,1.24510881814597e-05
2.15480314086843e-68,0.00179170725384332,5.15074765118421e-05
5.40031765772127e-59,0.00314237827957477,0.000143477791571757
3.70248211026133e-52,0.00479616406534829,0.000306353580144781
4.32681555122472e-47,0.0066191194372899,0.000541925280830436
2.69392977749227e-43,0.00846355021073409,0.000833955283909368
1.86301844298375e-40,0.0101882805075983,0.00115244176704415
2.32286245138259e-38,0.0116707850301779,0.00146056281449085
7.2040961326383e-37,0.012813656994163,0.00172167909969796
6.86074064294346e-36,0.0135475478029355,0.00190504131752724
