"m.mean","",""
0.237320066348155,0.306265528143603,0.302563381334018
0.246824149594418,0.318662597569035,0.314797213884798
0.256899724890348,0.33112881685891,0.327151860776975
0.267497183523825,0.343586003624887,0.339552237523363
0.278565229228614,0.355960263456144,0.351926022481081
0.290051236293271,0.368181744791024,0.364203369277078
0.301901609800235,0.380184286710041,0.376316554757103
0.314062145522516,0.391905025432283,0.388199628241529
0.326478387043542,0.403284025601453,0.399788127120951
0.339095977721045,0.414263998543061,0.411018918879134
0.351861005187473,0.424790161869754,0.421830220815259
0.364720336166665,0.434810283637783,0.432161836599589
0.377621939488408,0.444274940427473,0.441955634070931
0.39051519529808,0.45313800308425,0.451156272244525
0.403351188586698,0.461357347345464,0.459712168303314
0.416082985306276,0.468895770148426,0.467576678378341
0.42866588948505,0.475722076990854,0.474709450137343
0.441057679915803,0.481812292136113,0.481077891459297
0.453218825156592,0.487150932431941,0.486658688506803
0.465112675755541,0.491732277587421,0.491439298875351
0.476705632788505,0.495561565284561,0.49541934155817
0.487967291978932,0.498656038644572,0.498611805367361
0.498870562851844,0.501045776284903,0.501044001137898
0.509391762557086,0.502774241269676,0.502758190260087
0.519510684179559,0.503898494295985,0.503811832420986
0.529210639534676,0.504489027972039,0.50427740833902
0.538478476624632,0.504629192447772,0.504241788112553
0.547304572103845,0.504414197329643,0.503805131892204
0.555682799269194,0.503949690121289,0.503079326245519
0.563610472251112,0.503349926784962,0.50218597616493
0.57108826723447,0.502735564878926,0.501253988595389
0.578120121682267,0.502231123634973,0.500416798133845
0.584713112669878,0.501962167926348,0.499809298783151
0.590877315562033,0.502052284053861,0.499564557029847
0.596625644378276,0.502619924437865,0.499810390848047
0.60197367529475,0.503775205498157,0.500665906371188
0.606939454820324,0.505616748127547,0.502238088831319
0.61154329426296,0.508228653135441,0.504618546882608
0.61580755216748,0.511677704779932,0.507880509553342
0.619756406458423,0.516010893940992,0.512076172757289
0.623415618061303,0.521253348526352,0.517234487481801
0.62681228780237,0.527406752257017,0.523359474393045
0.629974608400932,0.534448323974731,0.530429139604815
0.632931613369698,0.542330418007416,0.538395053723827
0.63571292462754,0.55098079194036,0.547182641047503
0.638348500606072,0.560303571480742,0.556692208074543
0.640868386596695,0.570180923198921,0.566800720535832
