"test","sa1","sa2","sa3","sa4"
0.266666666666667,0.352706381063213,0.0778500112873376,0.181575411043905,0.267135068394876
0.27,0.361915067655843,0.0372396737175993,0.204788565243683,0.285048208761443
0.273333333333333,0.36791175624324,0.00421799641492953,0.225838508387337,0.300183523669877
0.276666666666667,0.37064338463526,0.0458815587680495,0.244503004085083,0.312393443633634
0.28,0.370085840655707,0.08783988285664,0.260585002027449,0.321558915312794
0.283333333333333,0.366244178081536,0.129735007543731,0.273914716265303,0.327590561739986
0.286666666666667,0.35915257407391,0.171310087847204,0.284351417847456,0.330429553418843
0.29,0.348874028440996,0.212314598263153,0.291784921675385,0.330048181739879
0.293333333333333,0.335499807363453,0.252504239716353,0.296136751316046,0.326450129108696
0.296666666666667,0.319148636488998,0.291642087560601,0.297360969193121,0.319670433162358
0.3,0.299965650552055,0.329499816426027,0.295444663243149,0.30977514544693
0.303333333333333,0.278121108897459,0.365858857844362,0.290408084822046,0.296860687923331
0.306666666666667,0.253808888506281,0.400511459157896,0.282304436376099,0.281052913640813
0.31,0.227244768424257,0.433261634891281,0.271219311129142,0.26250588085556
0.313333333333333,0.198664522159129,0.463926008767841,0.257269790759679,0.241400352783197
0.316666666666667,0.168321838578485,0.492334547740027,0.240603210730028,0.217942038117061
0.32,0.136486100660804,0.518331191350202,0.221395606587927,0.192359590627074
0.323333333333333,0.103440081786883,0.541774381113903,0.199849858255316,0.16490239027295
0.326666666666667,0.0694777794435552,0.562537495615268,0.17619355329766,0.135838135866407
0.33,0.0349041956922172,0.580509197678442,0.150676595283654,0.105450301547466
0.333333333333333,0.000999999388614371,0.595593700345413,0.123568592796041,0.0740356110790331
0.336666666666667,0.034903707184122,0.607710958458322,0.0951560928451705,0.041902484873306
0.34,0.0694758288543104,0.616796792425477,0.0657398570041511,0.00939723669110523
0.343333333333333,0.103435705574329,0.622802950266184,0.0356335323417332,0.0233153964982648
0.346666666666667,0.13647835232291,0.62569711331107,0.00522717142233399,0.0557137760147336
0.35,0.168309796009381,0.625462850022358,0.0254320122828821,0.0875785134309477
0.353333333333333,0.198647295534795,0.622099521341641,0.0556957982077675,0.118591563239163
0.356666666666667,0.227221508754451,0.61562213982668,0.0853788993671499,0.148449512464591
0.36,0.253778796977999,0.606061183663476,0.11416184657459,0.176861002938596
0.363333333333333,0.278083447121462,0.593462365496923,0.1417395974149,0.20354897994331
0.366666666666667,0.299919751807454,0.577886354973003,0.167820544978315,0.22825326057317
0.37,0.319093918041593,0.559408452984217,0.192129082304144,0.250733028207053
0.373333333333333,0.335435783911485,0.538118214907645,0.214408392228891,0.270769163571642
0.376666666666667,0.348800326716923,0.514119019662942,0.234423120896005,0.288166373119965
0.38,0.359068948602887,0.487527581226507,0.251961848315012,0.30275508872911
0.383333333333333,0.366150528066341,0.458473399337567,0.266839314562803,0.314393118264111
0.386666666666667,0.369982227923847,0.427098146530675,0.278898373139548,0.322967030126739
0.39,0.370530052546999,0.393554989327002,0.288011648972348,0.328393257945953
0.393333333333333,0.367789149419294,0.358007842412422,0.294082882766672,0.330618914483979
0.396666666666667,0.361783852340564,0.320630555939144,0.297047947148536,0.329622306752348
0.4,0.352567465893378,0.281606037797119,0.29687552369455,0.325413147285706
0.403333333333333,0.340221793076505,0.241125315150982,0.293567433618417,0.318032459504386
0.406666666666667,0.324856410289691,0.199386544010437,0.287158618589389,0.307552178093564
0.41,0.306607696110042,0.156593987547601,0.27771677188726,0.29407444831745
0.413333333333333,0.285637622528386,0.112957032664244,0.265341623826109,0.277730631153129
0.416666666666667,0.262132319526298,0.068689640221785,0.250163889082278,0.25868002406069
0.42,0.236300426129201,0.0240164058567779,0.232343887229686,0.237108310117333
0.423333333333333,0.208371243558182,0.0209147014964599,0.212069851441478,0.21322575120925
0.426666666666667,0.178592709442505,0.0657671085075737,0.189555944084097,0.187265144257718
0.43,0.147229218482639,0.110398851431754,0.165040002237313,0.15947956393737
0.433333333333333,0.114559334141656,0.154584299879029,0.13878104253252,0.130139924343525
0.436666666666667,0.080873523223913,0.198111337097108,0.111056569185417,0.0995324207758189
0.44,0.0464727123385618,0.240773063068358,0.0821597824449925,0.0679560562725767
0.443333333333333,0.0116870547600579,0.282368163087894,0.0523971040267244,0.0357217647515217
0.446666666666667,0.0232983539834028,0.322701759094261,0.0220907026687727,0.00327522697320437
0.45,0.057999932522538,0.361586286369844,0.00854329839655348,0.0295174181482184
0.453333333333333,0.0921963793557707,0.398842319900093,0.0389604548306926,0.0618403167743117
0.456666666666667,0.125576236406738,0.434299329694076,0.0690065738285934,0.0935666624328206
0.46,0.15784207766981,0.467796357696112,0.0983273678152096,0.124382511380845
0.463333333333333,0.188707170043077,0.49918261400038,0.126610716138565,0.15398663994951
0.466666666666667,0.217897418257521,0.528317992982239,0.153557288891307,0.182090227838397
0.47,0.245153666750844,0.555073512081655,0.178882251394862,0.208419245149878
0.473333333333333,0.270233959241252,0.579331677673985,0.202318015665076,0.232717019556369
0.476666666666667,0.292915670475683,0.600986783823178,0.223616995611507,0.254746703847969
0.48,0.312997474844524,0.619945150734266,0.242554196782992,0.274293570693909
0.483333333333333,0.330301129260757,0.636125310388901,0.258929582164198,0.291167099138967
0.486666666666667,0.344673052625741,0.649458147144318,0.272570179956707,0.305202828197228
0.49,0.355985687135004,0.659887000997401,0.283331907912351,0.316263957851607
0.493333333333333,0.364138629049871,0.66736774077033,0.291101093691284,0.324242681177194
0.496666666666667,0.369059518789486,0.671868813686105,0.295795674637546,0.329061234303306
0.5,0.37070468241185,0.673371276709774,0.29736606404441,0.330672653841909
0.503333333333333,0.369059518789486,0.671868813686104,0.295795674637549,0.32906123433609
0.506666666666667,0.36413862904987,0.66736774077033,0.291101093691291,0.324242681242449
0.51,0.355985687135004,0.659887000997401,0.28333190791236,0.316263957948711
0.513333333333333,0.344673052625741,0.649458147144317,0.27257017995672,0.305202828325255
0.516666666666667,0.330301129260757,0.636125310388901,0.258929582164213,0.291167099296697
0.52,0.312997474844524,0.619945150734266,0.242554196783009,0.274293570879841
0.523333333333333,0.292915670475683,0.600986783823177,0.223616995611527,0.254746704060334
0.526666666666667,0.270233959241251,0.579331677673984,0.202318015665098,0.232717019793147
0.53,0.245153666750844,0.555073512081654,0.178882251394885,0.208419245408821
0.533333333333333,0.21789741825752,0.528317992982239,0.153557288891334,0.182090228117048
0.536666666666667,0.188707170043076,0.499182614000378,0.126610716138594,0.15398664024523
0.54,0.15784207766981,0.467796357696111,0.0983273678152373,0.124382511690838
0.543333333333333,0.125576236406738,0.434299329694075,0.0690065738286224,0.0935666627541543
0.546666666666667,0.0921963793557695,0.398842319900092,0.0389604548307225,0.0618403171039434
0.55,0.0579999325225341,0.361586286369843,0.00854329839657947,0.0295174184829262
0.553333333333333,0.02329835398341,0.32270175909426,0.0220907026687375,0.00327522665234672
0.556666666666667,0.0116870547600627,0.282368163087892,0.0523971040266979,0.0357217644157222
0.56,0.0464727123385594,0.240773063068356,0.0821597824449655,0.0679560559408726
0.563333333333333,0.0808735232239144,0.198111337097107,0.111056569185392,0.099532420451359
0.566666666666667,0.114559334141657,0.154584299879028,0.138781042532497,0.130139924029316
0.57,0.14722921848264,0.110398851431752,0.165040002237291,0.159479563636309
0.573333333333333,0.178592709442505,0.0657671085075745,0.189555944084076,0.187265143972552
0.576666666666667,0.208371243558182,0.0209147014964572,0.212069851441461,0.213225750942565
0.58,0.236300426129201,0.0240164058567756,0.232343887229672,0.237108309871534
0.583333333333333,0.262132319526298,0.068689640221785,0.250163889082268,0.258680023837961
0.586666666666667,0.285637622528387,0.112957032664246,0.265341623826102,0.277730630955431
0.59,0.306607696110043,0.156593987547603,0.277716771887257,0.294074448146496
0.593333333333333,0.32485641028969,0.199386544010439,0.287158618589389,0.3075521779508
0.596666666666667,0.340221793076505,0.241125315150984,0.293567433618421,0.318032459390983
0.6,0.352567465893378,0.281606037797121,0.296875523694558,0.325413147202553
0.603333333333333,0.361783852340564,0.320630555939145,0.297047947148548,0.329622306700038
0.606666666666667,0.367789149419293,0.358007842412423,0.294082882766687,0.330618914462808
0.61,0.370530052546998,0.393554989327003,0.288011648972368,0.328393257955923
0.613333333333333,0.369982227923847,0.427098146530676,0.278898373139571,0.322967030167555
0.616666666666667,0.366150528066341,0.458473399337568,0.266839314562829,0.314393118335187
0.62,0.359068948602886,0.487527581226508,0.251961848315042,0.302755088829579
0.623333333333333,0.348800326716921,0.514119019662943,0.234423120896037,0.288166373248686
0.626666666666667,0.335435783911484,0.538118214907645,0.214408392228926,0.270769163727219
0.63,0.319093918041593,0.559408452984217,0.192129082304182,0.250733028387842
0.633333333333333,0.299919751807453,0.577886354973004,0.167820544978356,0.228253260777305
0.636666666666667,0.278083447121462,0.593462365496923,0.141739597414942,0.203548980168718
0.64,0.253778796977998,0.606061183663476,0.114161846574634,0.176861003183024
0.643333333333333,0.22722150875445,0.615622139826681,0.0853788993671967,0.14844951272562
0.646666666666667,0.198647295534794,0.622099521341642,0.0556957982078163,0.118591563514243
0.65,0.168309796009379,0.625462850022358,0.0254320122829213,0.087578513717415
0.653333333333333,0.136478352322909,0.62569711331107,0.00522717142227027,0.0557137763098285
0.656666666666667,0.103435705574326,0.622802950266184,0.0356335323416818,0.0233153967989841
0.66,0.0694758288543088,0.616796792425476,0.0657398570041012,0.00939723638877584
0.663333333333333,0.0349037071841157,0.607710958458322,0.0951560928451232,0.0419024845691282
0.666666666666667,0.000999999388614371,0.595593700345412,0.123568592795998,0.0740356107773679
0.67,0.0349041956922188,0.580509197678442,0.150676595283611,0.105450301251098
0.673333333333333,0.0694777794435536,0.562537495615268,0.176193553297618,0.135838135577998
0.676666666666667,0.103440081786885,0.541774381113903,0.199849858255278,0.164902389995056
0.68,0.136486100660805,0.518331191350201,0.221395606587892,0.192359590362111
0.683333333333333,0.168321838578486,0.492334547740027,0.240603210729996,0.217942037867302
0.686666666666667,0.19866452215913,0.46392600876784,0.25726979075965,0.241400352550737
0.69,0.227244768424258,0.433261634891281,0.271219311129117,0.262505880642306
0.693333333333333,0.253808888506282,0.400511459157895,0.282304436376077,0.281052913448466
0.696666666666667,0.278121108897458,0.365858857844362,0.290408084822027,0.29686068775337
0.7,0.299965650552056,0.329499816426025,0.295444663243134,0.309775145300606
0.703333333333333,0.319148636488999,0.2916420875606,0.29736096919311,0.319670433040679
0.706666666666667,0.335499807363453,0.252504239716353,0.29613675131604,0.326450129012423
0.71,0.348874028440997,0.212314598263151,0.291784921675382,0.330048181669524
0.713333333333333,0.359152574073911,0.171310087847203,0.284351417847458,0.330429553374663
0.716666666666667,0.366244178081536,0.12973500754373,0.273914716265308,0.327590561721987
0.72,0.370085840655707,0.0878398828566362,0.260585002027457,0.321558915320737
0.723333333333333,0.37064338463526,0.0458815587680435,0.244503004085095,0.312393443667037
0.726666666666667,0.36791175624324,0.00421799641489005,0.225838508387352,0.300183523728024
0.73,0.361915067655843,0.0372396737175949,0.204788565243701,0.285048208843396
0.733333333333333,0.352706381063212,0.077850011287334,0.181575411043926,0.267135068499489
0.736666666666667,0.340367236175506,0.117503228922502,0.156444129207958,0.246618750451063
0.74,0.325006925409154,0.155944534272287,0.129660083181539,0.223699279597306
0.743333333333333,0.306761523246338,0.192928287102619,0.101506175585202,0.19860011111741
0.746666666666667,0.285792678490343,0.228217317954103,0.072280079235613,0.171565959157647
0.75,0.262286180352893,0.261584482433481,0.0422922564104429,0.142860428682621
0.753333333333333,0.23645031156458,0.29281445382325,0.0118817417734383,0.112763494642928
0.756666666666667,0.20851400418599,0.321705536122584,0.0187548222578054,0.0815689406399047
0.76,0.1787248171339,0.348071441415969,0.0491103811406419,0.0495823279861236
0.763333333333333,0.147346760857634,0.371743003541475,0.0789624382973584,0.0171283632227676
0.766666666666667,0.114658013766256,0.392569806841428,0.107985481316055,0.0155721435859496
0.77,0.0809486621892553,0.410421710894891,0.135871882345983,0.0480375418340055
0.773333333333333,0.0465192620506186,0.425190253012263,0.162327016430778,0.0800519250828521
0.776666666666667,0.0116995895298043,0.436789910826062,0.187071606641712,0.111288164510501
0.78,0.0233254460611806,0.44515920782489,0.20984450065913,0.141440313032567
0.783333333333333,0.0580727416320849,0.450261645258685,0.230405365857871,0.170214209553394
0.786666666666667,0.0923211402377206,0.452086444545914,0.2485371930079,0.197329432683566
0.79,0.125759375617819,0.450649085172028,0.264048562044142,0.222521853150725
0.793333333333333,0.158090136842805,0.445991624111723,0.276775639754646,0.245546154620017
0.796666666666667,0.189026722938403,0.438182784061309,0.286583886107319,0.26617820364495
0.8,0.218294974883659,0.427317799255673,0.293369450441404,0.284217223078749
0.803333333333333,0.24563556332689,0.413518009388416,0.297060242634745,0.299487740808614
0.806666666666667,0.270806233300795,0.396930194171174,0.297616668111824,0.311841292244836
0.81,0.293583920617846,0.37772564337163,0.295032019320943,0.32115785887648
0.813333333333333,0.313766704818902,0.356098959765635,0.289332520110156,0.327347028364114
0.816666666666667,0.331175576271747,0.332266595327698,0.280577023259935,0.330348864629606
0.82,0.345655999968925,0.30646512416107,0.268856365260882,0.330134479389067
0.823333333333333,0.357079261537816,0.278949259129668,0.254292386230372,0.326706299601908
0.826666666666667,0.365343583382804,0.249989622910837,0.237036626624484,0.320098028378058
0.83,0.370375001143819,0.219870288313087,0.217268716130397,0.310374299981824
0.833333333333333,0.372127992906177,0.188886107473062,0.195194473907713,0.297630032673898
0.836666666666667,0.370585855870307,0.157339855950081,0.171043743511575,0.281989486221815
0.84,0.365760827490976,0.125539229607795,0.145067991519621,0.263605033968783
0.843333333333333,0.357693950415429,0.0937937673554984,0.11753771055249,0.24265566238376
0.846666666666667,0.346454682875104,0.0624119445702445,0.0887397063432655,0.219345214072471
0.85,0.332140258501527,0.0317002721516233,0.0589745579043781,0.193900393499283
0.853333333333333,0.314874801830002,0.00216887961518471,0.0285567587563655,0.166568558793963
0.856666666666667,0.294808208015996,0.026611770625388,0.00244374295702739,0.137615330329343
0.86,0.272114797522025,0.0536096578862796,0.0330357852824659,0.107322067348633
0.863333333333333,0.24699175877328,0.0788540939497231,0.0635205188639164,0.0759833552720939
0.866666666666667,0.21965739415408,0.1021116022523,0.0933932075249059,0.0439053346810661
0.87,0.190349187632994,0.12317674825391,0.122338423299623,0.0114240568389329
0.873333333333333,0.159321717176,0.141871378690193,0.150052563823703,0.0212725254144526
0.876666666666667,0.12684444764603,0.158046498644444,0.176244536948955,0.0536864322812615
0.88,0.0931994894327353,0.171584171665316,0.200638214200811,0.0855952525868919
0.883333333333333,0.0586797176395435,0.18239913711717,0.222974952963598,0.116680285590959
0.886666666666667,0.0235921153683052,0.190440060171096,0.243015962219385,0.14663813465191
0.89,0.011844995470968,0.195690373248264,0.26054444625903,0.175176800021489
0.893333333333333,0.0471540554444567,0.198168682864881,0.275367493178338,0.202017691588344
0.896666666666667,0.0821516294823762,0.197928724993021,0.287317685740549,0.226898001853523
0.9,0.116510563876516,0.195058859855617,0.296254418032803,0.249572996482473
0.903333333333333,0.149931895717418,0.189681104643361,0.302064905879973,0.26981812749332
0.906666666666667,0.18212621696286,0.181949710235751,0.304664883144314,0.287430930103608
0.91,0.212814974478745,0.172049295632744,0.303998980095412,0.302232679072625
0.913333333333333,0.24173257001023,0.160192561384952,0.30004078404196,0.314069786738163
0.916666666666667,0.268628472073102,0.146617610771413,0.292792586367402,0.322814929178066
0.92,0.29326921040858,0.131584914798491,0.282284823975377,0.328367890576392
0.923333333333333,0.315440210043735,0.115373964471315,0.268575226894024,0.330656119373764
0.926666666666667,0.334947441211913,0.0982796620619361,0.251747687385941,0.329634993250841
0.93,0.351618868018702,0.0806085154345982,0.231910869371437,0.32528779345131
0.933333333333333,0.365305682331148,0.0626747289990899,0.209196580398442,0.317625392379086
0.936666666666667,0.375883312124368,0.0447963995169472,0.183757932175582,0.306685661773579
0.94,0.38325219604793,0.0272927455994567,0.155767321259553,0.292532612044359
0.943333333333333,0.387338318457251,0.0104938956859547,0.125414274791504,0.275255276506194
0.946666666666667,0.388093501645005,0.00548846287946305,0.0929032584422293,0.254966357289988
0.95,0.385495454510539,0.0199885223034972,0.058451881588208,0.231800652660825
0.953333333333333,0.379547579410616,0.0329957961512355,0.0222953526967042,0.205913288552627
0.956666666666667,0.370278541424385,0.0442052214960853,0.0154122590478944,0.177477781047475
0.96,0.357741606718514,0.0533814240422468,0.0542856326762203,0.146683964018771
0.963333333333333,0.342013759094109,0.0603177415100136,0.0941816912256708,0.113735839736421
0.966666666666667,0.323194606117203,0.0648361284868289,0.134842929963844,0.0788495278737331
0.97,0.301405088468742,0.0667886218061994,0.176029868394453,0.0422525526636468
0.973333333333333,0.276786008308004,0.0660586787210438,0.217508963221863,0.0042745528797175
0.976666666666667,0.249496394590384,0.0625621366902397,0.259053811020394,0.0351889192472406
0.98,0.21971172564667,0.0562477487509693,0.300446926600134,0.0755192241658663
0.983333333333333,0.187622032707143,0.0470973371206311,0.341481466538091,0.116623611741688
0.986666666666667,0.153429915469152,0.035125842990459,0.381962790496446,0.158262051171025
0.99,0.117348526476945,0.0203834669381521,0.421709826304005,0.200202432833864
0.993333333333333,0.0795997175031087,0.00307162632620938,0.460556222821205,0.242219795456055
0.996666666666667,0.0404138979610308,0.0171773019059338,0.498351281964788,0.284097852611686
1,0.000999999449399117,0.0396805023317521,0.534960665897294,0.325630631284974
