"m.up","up","up"
0.347522911011828,0.940365545089338,0.908521186919813
0.32844888707382,0.86524854056816,0.836556733998097
0.309347291739614,0.785940137873085,0.760596351839183
0.290341700002686,0.702991924608393,0.681163005473256
0.271555281997014,0.617016534151078,0.598838597243091
0.253110130014831,0.528681754909628,0.514258474138741
0.235126745302025,0.43870217370737,0.428103548704581
0.217724299239257,0.347828831782527,0.341090489596026
0.20102875548477,0.256839390295379,0.253962371524371
0.191252670048031,0.211564664885205,0.210608714920875
0.200380338048084,0.302309100947903,0.29751028356701
0.21038594374356,0.393347802698337,0.384689567046248
0.221125487627495,0.483879268809276,0.471380353877432
0.232516811732555,0.57313858974315,0.556852412923019
0.244477670650242,0.660391859597718,0.640406087632353
0.256923815220368,0.744947014464253,0.721382591863477
0.269769214691647,0.826163279936728,0.799172945355994
0.282926610223485,0.903458337665499,0.873224698174556
0.296308150722441,0.976312908783482,0.943046157255093
0.309826052409702,1.04427265643725,1.008208024744
0.32339326165512,1.106947478044,1.06834251991316
0.336924110793465,1.16400841769893,1.12314021030949
0.350334959985378,1.21518257679242,1.17234491998896
0.363544819518739,1.2602465275548,1.21574720470944
0.376475947608451,1.29901883032283,1.25317697655079
0.389054419176756,1.33135231206674,1.28449591514743
0.401210661437974,1.35712677450196,1.30959031314008
0.412879952431626,1.37624276156436,1.32836496629467
0.424002878970972,1.38861692894737,1.34073863472497
0.434525750810281,1.39417942820007,1.34664147597654
0.444400968187096,1.39287355443255,1.34601469286527
0.453587340266325,1.38465772341139,1.33881246185478
0.462050352400536,1.36950965629175,1.32500602637573
0.469762380525031,1.34743247421912,1.30458966906432
0.476702851427169,1.31846225473867,1.27758813112296
0.482858348070241,1.28267648844425,1.24406493656877
0.488222659621717,1.24020280458226,1.20413101080461
0.492796776357342,1.19122731105603,1.157952959314
0.496588830244594,1.13600191611856,1.10576039209357
0.499613982903281,1.07485006144017,1.04785173835253
0.501894264221925,1.00817039244295,0.984598087577444
0.503458368496197,0.936438013990804,0.916444709811251
0.504341425293202,0.860203120390889,0.843910042931876
0.504584800132403,0.780086945705112,0.767582085458725
0.504236167906345,0.696775181652689,0.688112326847296
0.503351636644577,0.611009603565602,0.606207916286668
0.50205695600433,0.523595585385407,0.522638995528744
0.518671360710976,0.57029023630268,0.567415365394377
0.541050610294688,0.660850228111152,0.654117487969387
0.562897429590143,0.749534319134906,0.738945508812081
0.584102616184684,0.835681872667204,0.821273475324208
0.604571868620561,0.918684413367559,0.900527388283588
0.624217621160291,0.99799277902367,0.976191867816373
0.642958565826818,1.07312408638437,1.04781658280053
0.660719884590321,1.14366611757632,1.11502015730568
0.677433588672024,1.20927877451591,1.17749122384881
0.693038854776152,1.26969255272942,1.23498658585233
0.707482328643663,1.32470417380102,1.28732663278474
0.720718385438676,1.37416968291414,1.3343883126092
0.732709342338615,1.4179954698515,1.37609611234085
0.743425620946651,1.45612780174172,1.41241162235021
0.752845858231749,1.48854155509557,1.44332235520306
0.760956965365265,1.51522889486177,1.46883054722423
0.767754134315457,1.53618866253737,1.48894268406148
0.773240792476965,1.55141719968954,1.50366045635713
0.777428505988976,1.56090124718384,1.51297376782014
0.780336832749021,1.56461342792659,1.51685628933868
0.781993126465535,1.56251065045825,1.51526388741489
0.782432293413745,1.5545355746709,1.50813606508095
0.781696503866745,1.54062107440229,1.4954003531642
0.779834860467079,1.5206974308818,1.47697939493329
0.77690302608446,1.49470181136423,1.45280029262956
0.772962813974896,1.46258944166993,1.42280564260561
0.768081743321631,1.42434577890873,1.38696558559766
0.762332563514199,1.37999893623347,1.34529014473626
0.755792750844238,1.3296316056435,1.29784111685761
0.748543981754129,1.27339176459437,1.24474281962323
0.740671587602169,1.21150153170788,1.18619107239104
0.732263997792419,1.14426364881528,1.12245989563317
0.723412183337306,1.07206520310071,1.05390554450497
0.71420913043848,0.995378358341785,0.980967641299259
0.704749448276421,0.914758043928711,0.904167344490502
0.695129672865973,0.830836850455508,0.824102780791897
0.685455754982299,0.744319422046307,0.741443923293884
0.682495359468038,0.701012015928566,0.700055656938118
0.699506410763148,0.791243813579697,0.78644343576791
0.716786198657717,0.879365315427249,0.870705126374022
0.734185889768515,0.964700138547815,0.95219961993858
0.751614786224682,1.04665524477221,1.03036854936672
0.768983371762826,1.12471143169673,1.10472696185712
0.786201499738568,1.19842900496055,1.17486844745501
0.803178529687202,1.26745097253538,1.24046781975604
0.819823759486016,1.33150306493782,1.30128069209049
0.836046926183638,1.39039050082683,1.35713988395563
0.851758722832063,1.44399164035827,1.40794880754159
0.866871313616808,1.49224884614519,1.45367215539415
0.881298838955294,1.5351570313282,1.49432436400768
0.894957905347958,1.57275051312625,1.52995646158664
0.907768056028183,1.60508890047382,1.56064201383665
0.919652219093921,1.63224281756799,1.58646295139933
0.930537130210883,1.65428029396265,1.60749608934011
0.940353727296647,1.67125463102491,1.6238011279123
0.949037514882298,1.68319448207542,1.63541085270273
0.956528896125688,1.69009676136335,1.64232413313913
0.962773470727243,1.69192283160569,1.64450215740781
0.967722297279067,1.68859822182591,1.64186814938706
0.971332118861468,1.68001591072077,1.63431060281397
0.973565550987947,1.66604299177419,1.62168985501721
0.974391231289641,1.64653033098758,1.60384762276845
0.973783930623329,1.62132465092852,1.58061895015736
0.971724625585369,1.5902823372194,1.55184588390191
0.968200532723176,1.55328417296855,1.51739210231505
0.963205105071349,1.51025016608419,1.47715768328685
